name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10
28,17/05/2021,01:57:14,0,0,27.65,43.63,100.81,42.84,25.98
29,17/05/2021,01:57:15,0,0,27.65,43.46,100.81,42.84,28.32
30,17/05/2021,01:57:16,0,0,27.65,43.34,100.81,43.79,21.29
31,17/05/2021,01:57:17,0,0,27.66,42.91,100.82,43.24,34.96
32,17/05/2021,01:57:18,0,0,27.66,43.12,100.81,43.24,19.34
33,17/05/2021,01:57:19,0,0,27.66,43.01,100.81,43.18,22.27
34,17/05/2021,01:57:20,0,0,27.66,42.94,100.81,43.24,24.22
35,17/05/2021,01:57:21,0,0,27.66,42.86,100.81,43.01,36.33
36,17/05/2021,01:57:22,0,0,27.64,42.95,100.8,42.73,20.9
37,17/05/2021,01:57:23,0,0,27.64,42.73,100.8,42.97,24.8
38,17/05/2021,01:57:24,0,0,27.65,42.71,100.81,43.31,19.34
39,17/05/2021,01:57:25,0,0,27.64,42.54,100.81,42.97,22.27
40,17/05/2021,01:57:26,0,0,27.64,42.66,100.81,43.04,30.66
41,17/05/2021,01:57:27,0,0,27.63,42.63,100.81,43.11,33.79
42,17/05/2021,01:57:28,0,0,27.64,42.54,100.81,42.5,30.86
43,17/05/2021,01:57:29,0,0,27.63,42.53,100.81,43.11,25.2
44,17/05/2021,01:57:30,0,0,27.64,42.43,100.81,43.21,26.17
45,17/05/2021,01:57:31,0,0,27.64,42.41,100.81,43.04,27.15
46,17/05/2021,01:57:32,0,0,27.63,42.34,100.81,43.11,26.95
47,17/05/2021,01:57:33,0,0,27.63,42.29,100.81,43.58,31.25
48,17/05/2021,01:57:34,0,0,27.63,42.25,100.81,43.58,17.77
49,17/05/2021,01:57:35,0,0,27.64,42.2,100.81,43.27,25.98
50,17/05/2021,01:57:36,0,0,27.63,42.17,100.81,43.34,35.74
51,17/05/2021,01:57:37,0,0,27.63,42.2,100.8,43.58,74.61
52,17/05/2021,01:57:38,0,0,27.63,42.27,100.81,42.63,24.61
53,17/05/2021,01:57:39,0,0,27.64,42.32,100.81,43.21,30.47
54,17/05/2021,01:57:40,0,0,27.63,42.34,100.8,43.58,29.69
55,17/05/2021,01:57:41,0,0,27.63,42.24,100.81,43.11,16.21
56,17/05/2021,01:57:42,0,0,27.62,42.33,100.8,43.24,52.15
57,17/05/2021,01:57:43,0,0,27.63,42.33,100.81,43.58,80.86
58,17/05/2021,01:57:44,0,0,27.63,42.44,100.81,43.11,25
59,17/05/2021,01:57:45,0,0,27.62,42.35,100.81,43.48,29.88
60,17/05/2021,01:57:46,0,0,27.63,42.37,100.81,43.34,30.86
61,17/05/2021,01:57:47,0,0,27.63,42.37,100.81,43.34,22.85
62,17/05/2021,01:57:48,0,0,27.64,42.31,100.81,43.51,21.68
63,17/05/2021,01:57:49,32.64838,-115.415702,27.64,42.26,100.81,43.45,13.87
64,17/05/2021,01:57:50,32.64838,-115.415702,27.63,42.2,100.81,42.87,15.43
65,17/05/2021,01:57:51,32.64838,-115.41571,27.63,42.16,100.8,43.11,30.47
66,17/05/2021,01:57:52,32.64838,-115.41571,27.63,42.18,100.81,42.94,14.26
67,17/05/2021,01:57:53,32.64838,-115.415718,27.62,42.07,100.8,43.71,35.16
68,17/05/2021,01:57:54,32.64838,-115.41571,27.64,42.1,100.81,43.45,25.98
69,17/05/2021,01:57:55,32.64838,-115.41571,27.63,42.15,100.8,42.7,30.47
